file,folder,filename,parent_folder,beam_width,topk,use_lm,lm_backend,lm_model_name,kenlm_model_path,kenlm_normalize,lm_alpha,lm_length_penalty,max_batches,greedy_CER,greedy_WER,beam_CER,beam_WER,beam_lm_CER,beam_lm_WER,greedy_total_char_length,greedy_total_word_length,beam_total_char_length,beam_total_word_length,beam_lm_total_char_length,beam_lm_total_word_length
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100_hi/text_gpt2xl_bw100_a20.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100_hi,text_gpt2xl_bw100_a20.json,alpha_sweep_gpt2xl_bw100_hi,100,100,True,hf,openai-community/gpt2-xl,,False,2.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1528511793374324,0.29857067231339335,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/final_best_gpt2xl_bw100_a20.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results,final_best_gpt2xl_bw100_a20.json,rescoring_results,100,100,True,hf,openai-community/gpt2-xl,,False,2.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1528511793374324,0.29857067231339335,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100_hi/text_gpt2xl_bw100_a15.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100_hi,text_gpt2xl_bw100_a15.json,alpha_sweep_gpt2xl_bw100_hi,100,100,True,hf,openai-community/gpt2-xl,,False,1.5,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.15264554072672684,0.298782424563261,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100_hi/text_gpt2xl_bw100_a12.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100_hi,text_gpt2xl_bw100_a12.json,alpha_sweep_gpt2xl_bw100_hi,100,100,True,hf,openai-community/gpt2-xl,,False,1.2,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.15250159369923297,0.29941768131286395,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100_hi/text_gpt2xl_bw100_a25.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100_hi,text_gpt2xl_bw100_a25.json,alpha_sweep_gpt2xl_bw100_hi,100,100,True,hf,openai-community/gpt2-xl,,False,2.5,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.15324189269777294,0.29994706193753307,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100_hi/text_gpt2xl_bw100_a30.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100_hi,text_gpt2xl_bw100_a30.json,alpha_sweep_gpt2xl_bw100_hi,100,100,True,hf,openai-community/gpt2-xl,,False,3.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.15346809516954904,0.3006881948120699,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100/text_gpt2xl_bw100_a10.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100,text_gpt2xl_bw100_a10.json,alpha_sweep_gpt2xl_bw100,100,100,True,,openai-community/gpt2-xl,,,1.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1528511793374324,0.3015352038115405,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100/text_gpt2xl_bw100_a09.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100,text_gpt2xl_bw100_a09.json,alpha_sweep_gpt2xl_bw100,100,100,True,,openai-community/gpt2-xl,,,0.9,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1528100516152913,0.3022763366860773,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100/text_gpt2xl_bw100_a08.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100,text_gpt2xl_bw100_a08.json,alpha_sweep_gpt2xl_bw100,100,100,True,,openai-community/gpt2-xl,,,0.8,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.15324189269777294,0.30365272631021706,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100/text_gpt2xl_bw100_a07.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100,text_gpt2xl_bw100_a07.json,alpha_sweep_gpt2xl_bw100,100,100,True,,openai-community/gpt2-xl,,,0.7,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.15361204219704291,0.3061937533086289,48629,9445,48629,9445,48629,9445
